Time,Gx,Gy,Gz,Ax,Ay,Az
1532053078,-0.437591553,0.35559082,-0.092971802,-0.296870823,-0.241070141,0.011527493
1532053078,-1.178665161,0.571868896,-0.399795532,-0.360212777,0.309971977,3.90717823
1532053078,-0.99206543,0.411727905,-0.046112061,-0.998523755,2.107279209,0.232305411
1532053078,-1.200378418,0.276596069,-0.213577271,0.970671617,-1.071755625,1.697473046
1532053079,-1.080032349,0.546157837,-0.280227661,0.119090439,-0.079350216,-1.497206794
1532053079,-1.204559326,0.735733032,-0.32081604,0.170924342,-0.879218399,-2.821052987
1532053079,-0.545471191,0.349136353,-0.008346558,0.402402575,-0.167743729,-1.066177634
1532053079,-0.753860474,0.537750244,-0.294754028,-0.890433503,-0.392028764,1.766198049
1532053079,-1.355743408,0.44128418,-0.502548218,-1.683693052,1.08251879,2.500255526
1532053080,-0.761077881,0.363082886,-0.276947021,-0.74019633,0.864475406,-0.010318684
1532053080,-0.983093262,0.27885437,-0.274047852,-0.576838295,0.786784605,-0.015550997
1532053080,-1.106399536,0.587661743,-0.056304932,0.112622952,-1.440981871,-0.383509844
1532053080,-1.090911865,0.668334961,-0.105316162,-2.594024629,-0.44660093,2.087965965
1532053080,-0.59362793,0.679000854,-0.246414185,-0.359508371,-1.729613672,-2.333045229
1532053081,-0.753036499,0.598815918,-0.303970337,-0.882379305,-2.681387765,0.824255548
1532053081,-1.274215698,0.798278809,-0.253540039,-1.241456511,0.505518841,3.190039016
1532053081,-0.834365845,0.122039795,-0.040908813,-1.824724209,1.972421792,0.318438166
1532053081,-0.895431519,0.221832275,-0.212890625,-0.265409835,0.558384986,0.466921914
1532053081,-1.191268921,0.736663818,-0.43421936,-0.237533729,0.050576092,-0.601232851
1532053082,-1.113876343,0.689666748,-0.251480103,2.36244919,-0.942364345,-1.472070282
1532053082,-0.748474121,0.387329102,-0.057159424,-0.337906406,0.906964809,-2.095514163
1532053082,-0.766448975,-0.104309082,-0.072021484,-0.413457091,-0.156972574,-1.514681392
1532053082,-0.783538818,0.208480835,-0.378616333,-0.948764188,0.694042417,0.441528407
1532053082,-1.215072632,0.158813477,-0.493591309,-1.003269242,-1.751945609,1.288987544
